統計年度,資料來源,分析標的,分析內容,統計項目,統計項目說明,分析結果值,分析結果單位
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,嘉義市,0.5,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,屏東縣,0.5,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,宜蘭縣,0.9,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,花蓮縣,2.1,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,臺東縣,0.7,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,澎湖縣,1.6,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,金門縣,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,整體,3.6,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,新北市,3.7,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,臺北市,2.4,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,桃園市,4,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,臺中市,4.7,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,臺南市,6.2,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,高雄市,2.4,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,基隆市,5.1,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,新竹縣,2.3,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,新竹市,0,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,苗栗縣,3.9,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,彰化縣,2.4,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,南投縣,1.7,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,雲林縣,3.4,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,嘉義縣,6.2,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,嘉義市,3.6,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,屏東縣,2.7,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,宜蘭縣,2.2,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,花蓮縣,6.6,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,臺東縣,3.1,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,澎湖縣,0,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,金門縣,1.1,百分比
109,運動現況調查,民眾喜好運動項目,籃球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,整體,3.1,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,新北市,2.5,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,臺北市,2.3,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,桃園市,1.8,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,臺中市,6,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,臺南市,1.4,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,高雄市,5.1,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,基隆市,4.1,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,新竹縣,2,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,新竹市,2.5,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,苗栗縣,3.3,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,彰化縣,2.7,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,南投縣,5.1,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,雲林縣,2.7,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,嘉義縣,5.3,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,嘉義市,1.3,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,屏東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,宜蘭縣,1.8,百分比
